object_name,path,object_size,object_type,parant_directory
seminar,C:\Users\User1\Desktop\Домашняя_работа\Task_8,,directory,Домашняя_работа
workhome,C:\Users\User1\Desktop\Домашняя_работа\Task_8,,directory,Домашняя_работа
result.csv,C:\Users\User1\Desktop\Домашняя_работа\Task_8,,file,Task_8
result.json,C:\Users\User1\Desktop\Домашняя_работа\Task_8,,file,Task_8
result.pickle,C:\Users\User1\Desktop\Домашняя_работа\Task_8,,file,Task_8
seminar_01.py,C:\Users\User1\Desktop\Домашняя_работа\Task_8\seminar,,file,seminar
seminar_02.py,C:\Users\User1\Desktop\Домашняя_работа\Task_8\seminar,,file,seminar
seminar_03.py,C:\Users\User1\Desktop\Домашняя_работа\Task_8\seminar,,file,seminar
seminar_04.py,C:\Users\User1\Desktop\Домашняя_работа\Task_8\seminar,,file,seminar
__pycache__,C:\Users\User1\Desktop\Домашняя_работа\Task_8\workhome,,directory,Task_8
result.csv,C:\Users\User1\Desktop\Домашняя_работа\Task_8\workhome,,file,workhome
result.json,C:\Users\User1\Desktop\Домашняя_работа\Task_8\workhome,,file,workhome
result.pickle,C:\Users\User1\Desktop\Домашняя_работа\Task_8\workhome,,file,workhome
search_directory.py,C:\Users\User1\Desktop\Домашняя_работа\Task_8\workhome,,file,workhome
workhome02.py,C:\Users\User1\Desktop\Домашняя_работа\Task_8\workhome,,file,workhome
__init__.py,C:\Users\User1\Desktop\Домашняя_работа\Task_8\workhome,,file,workhome
directory_reference.cpython-311.pyc,C:\Users\User1\Desktop\Домашняя_работа\Task_8\workhome\__pycache__,,file,__pycache__
search_directory.cpython-311.pyc,C:\Users\User1\Desktop\Домашняя_работа\Task_8\workhome\__pycache__,,file,__pycache__
